P_NAME,P_DETECTION,P_DISCOVERY_FACILITY,P_YEAR,P_MASS,P_MASS_ORIGIN,P_RADIUS,P_PERIOD,P_SEMI_MAJOR_AXIS,P_ECCENTRICITY,P_INCLINATION,P_OMEGA,S_NAME,S_TYPE,S_MAG,S_DISTANCE,S_TEMPERATURE,S_MASS,S_RADIUS,S_METALLICITY,S_AGE,S_LOG_LUM,S_LOG_G,P_ESCAPE,P_POTENTIAL,P_GRAVITY,P_DENSITY,P_HILL_SPHERE,P_DISTANCE,P_PERIASTRON,P_APASTRON,P_DISTANCE_EFF,P_FLUX,P_TEMP_EQUIL,P_TEMP_SURF,P_TYPE,S_TYPE_TEMP,S_LUMINOSITY,S_SNOW_LINE,S_ABIO_ZONE,S_TIDAL_LOCK,P_HABZONE_OPT,P_HABZONE_CON,P_TYPE_TEMP,P_HABITABLE,P_ESI,HABITABILITY
HATS-35 b,Transit,HATSouth,2016,388.38826,Mass,16.41,1.8209993,0.03199,0.306,86.9,,HATS-35,,12.609,514.555,6300.0,1.32,1.43,0.21,2.13,0.465,4.24,4.8649542,23.667779,1.4422778,0.087890179,0.0014770312,0.033487708,0.02220106,0.04177894,0.032376466,2994.4716,1850.2695,,Jovian,F,2.917427,4.6117288,5.4560939,0.44512236,0,0,Hot,0,0.056043266,0
TOI-1266 b,Transit,Transiting Exoplanet Survey Satellite (TESS),2020,13.5,Mass,2.37,10.894843,0.0736,0.09,89.5,0.0,TOI-1266,M3,12.941,36.0118,3600.0,0.45,0.42,-0.5,7.9,-1.58,4.85,2.3866719,5.6962025,2.403461,1.0141186,0.0020816684,0.07389808,0.066976,0.080224,0.073674719,4.8754019,377.95532,426.84115,Superterran,M,0.02630268,0.43788873,0.036861771,0.38687161,0,0,Hot,0,0.45212485,0
HAT-P-62 b,Transit,HATNet,2021,241.86742,Mass,12.027,2.6453235,0.03772,0.101,87.93,,HAT-P-62,,12.539,348.815,5629.0,1.02,1.17,0.414,8.1,0.091,4.31,4.4844587,20.11037,1.6721019,0.13902901,0.0020994669,0.037912391,0.03391028,0.04152972,0.037768259,871.13031,1381.2943,,Jovian,G,1.2331048,2.9982218,1.580928,0.51031586,0,0,Hot,0,0.074814943,0
HD 219134 h,Radial Velocity,Roque de los Muchachos Observatory,2015,108.0622,Msini,12.7,2247.0,3.11,0.06,,215.0,HD 219134,K3 V,5.56911,6.53127,4913.0,0.79,0.77,0.08,12.46,-0.509,4.51,2.9169907,8.5088346,0.66998698,0.05275488,0.15066848,3.115598,2.9234,3.2966,3.1114012,0.032082069,107.73869,,Jovian,K,0.30974193,1.5026705,0.42432694,0.50352404,0,0,Cold,0,0.10309791,0
WASP-20 b,Transit,SuperWASP,2015,98.841,Mass,16.388,4.8996284,0.06,0.0,85.56,,WASP-20,F9,10.675,211.877,5940.0,1.2,1.39,-0.008,7.0,0.338,4.23,2.4558712,6.0313034,0.36803169,0.022457389,0.0026112901,0.06,0.06,0.06,0.06,604.91938,1263.3512,,Jovian,F,2.1777098,3.9844076,2.8476185,0.52577701,0,0,Hot,0,0.057504479,0
TOI-530 b,Transit,Transiting Exoplanet Survey Satellite (TESS),2021,127.13136,Mass,9.303,6.387597,0.052,0.0,89.1,90.0,TOI-530,M0.5 V,15.403,148.762,3659.0,0.53,0.54,0.376,,-1.31,4.7,3.6967053,13.66563,1.4689488,0.15790055,0.0032318227,0.052,0.052,0.052,0.052,18.113122,525.53064,,Jovian,M,0.048977882,0.59753557,0.043080917,0.37334449,0,0,Hot,0,0.14820347,0
HATS-57 b,Transit,HATSouth,2019,1000.211,Mass,12.767,2.350621,0.03493,0.028,87.88,,HATS-57,,12.333,279.485,5587.0,1.03,0.96,0.268,2.5,-0.094,4.48,8.8511844,78.343464,6.1364036,0.48064569,0.0033630622,0.034943693,0.03395196,0.03590804,0.034933424,660.34841,1291.1572,,Jovian,G,0.80537844,2.4230577,1.475664,0.42088222,0,0,Hot,0,0.071421576,0
HD 191939 b,Transit,Transiting Exoplanet Survey Satellite (TESS),2020,10.0,Mass,3.41,8.8803256,0.0804,0.031,88.1,5.0,HD 191939,G9 V,8.97,53.6089,5348.0,0.81,0.94,-0.15,8.7,-0.187,4.3,1.7124694,2.9325513,0.85998572,0.25219523,0.0018010955,0.080438632,0.0779076,0.0828924,0.080409661,100.62287,806.66942,,Neptunian,G,0.65012969,2.1770267,0.90340238,0.4782332,0,0,Hot,0,0.20637786,0
WASP-67 b,Transit,SuperWASP,2012,136.6669,Mass,12.89,4.61442,0.05179,0.0,85.8,,WASP-67,,12.537,189.469,5200.0,0.91,0.88,-0.07,12.6,-0.294,4.35,3.2561561,10.602552,0.82254091,0.063812328,0.0027536272,0.05179,0.05179,0.05179,0.05179,189.45592,945.0978,,Jovian,K,0.50815944,1.9247032,0.72829595,0.5288109,0,0,Hot,0,0.07483415,0
WASP-127 b,Transit,SuperWASP,2016,52.3466,Mass,14.695,4.178062,0.0484,0.0,87.84,,WASP-127,,10.148,159.507,5620.0,0.95,1.33,-0.193,11.41,0.276,4.18,1.8873804,3.5622048,0.24240931,0.01649604,0.0018422656,0.0484,0.0484,0.0484,0.0484,805.95218,1357.3037,,Jovian,G,1.8879913,3.7099133,1.5202144,0.52765126,0,0,Hot,0,0.062868978,0
WASP-175 b,Transit,WASP-South,2019,314.6517,Mass,13.54,3.0652907,0.04403,0.0,85.33,,WASP-175,F7,12.959,539.36,6229.0,1.21,1.2,0.15,1.745,0.789,4.36,4.8206512,23.238678,1.7162982,0.12675762,0.002811138,0.04403,0.04403,0.04403,0.04403,3173.2379,1911.9449,,Jovian,F,6.1517687,6.696745,4.6914952,0.41826597,0,0,Hot,0,0.066576873,0
WASP-35 b,Transit,SuperWASP,2011,225.6593,Mass,14.572,3.16158,0.04317,0.0,87.96,,WASP-35,,10.939,202.218,5990.0,1.05,1.08,-0.15,5.0,0.144,4.4,3.9352021,15.485815,1.0627104,0.072928243,0.0025865563,0.04317,0.04317,0.04317,0.04317,747.54252,1332.0137,,Jovian,G,1.3931568,3.1868657,2.9679532,0.4754625,0,0,Hot,0,0.063440399,0
WASP-62 b,Transit,SuperWASP,2012,165.2716,Mass,14.796,4.41195,0.0571,0.0,88.3,,WASP-62,,10.213,175.631,6230.0,1.11,1.23,0.04,2.6,0.346,4.45,3.3421578,11.170019,0.75493504,0.051022915,0.0030272371,0.0571,0.0571,0.0571,0.0571,680.34279,1301.0131,,Jovian,F,2.2181964,4.0212749,4.5663577,0.43433823,0,0,Hot,0,0.06273261,0
HATS-45 b,Transit,HATSouth,2018,222.481,Mass,14.415,4.1876244,0.05511,0.24,85.61,,HATS-45,,13.325,772.11,6450.0,1.27,1.32,0.02,1.52,0.425,4.31,3.928612,15.433992,1.0706897,0.074276082,0.0023441874,0.056697168,0.0418836,0.0683364,0.055514501,902.44665,1380.8499,,Jovian,F,2.6607251,4.4041669,6.9696258,0.41540017,0,0,Hot,0,0.063804699,0
WASP-121 b,Transit,SuperWASP,2016,367.72747,Mass,19.649,1.274925,0.02596,0.0,88.49,10.0,WASP-121,F6 V,10.514,269.898,6776.0,1.36,1.46,0.13,1.5,0.644,4.24,4.3260627,18.714819,0.95245654,0.048473538,0.0016791352,0.02596,0.02596,0.02596,0.02596,6537.1827,2290.59,,Jovian,F,4.4055486,5.6671377,12.484054,0.42405255,0,0,Hot,0,0.047357482,0
HATS-7 b,Transit,HATSouth,2015,38.1396,Mass,6.311,3.185315,0.04012,0.17,87.92,,HATS-7,K2,13.347,240.707,4985.0,0.85,0.82,0.25,7.8,-0.434,4.54,2.4583232,6.0433529,0.95759038,0.15173354,0.0011836137,0.040699734,0.0332996,0.0469404,0.040266327,232.08452,988.84609,,Neptunian,K,0.36812897,1.6381881,0.49206036,0.47721444,0,0,Hot,0,0.13091228,0
WASP-46 b,Transit,SuperWASP,2011,607.0553,Mass,13.159,1.4303676,0.02335,0.022,82.8,,WASP-46,G6 V,13.043,375.31,5600.0,0.83,0.86,-0.3,9.6,-0.111,4.49,6.7920783,46.132328,3.5057624,0.26641557,0.0020580743,0.023355651,0.0228363,0.0238637,0.023351413,1420.7948,1563.8429,,Jovian,G,0.7744618,2.3760948,1.4042162,0.49011283,0,0,Hot,0,0.06870114,0
WASP-140 b,Transit,SuperWASP-South,2016,775.5052,Mass,16.141,2.2359835,0.0323,0.047,83.3,356.0,WASP-140,K0,11.118,117.598,5260.0,0.9,0.87,0.12,0.5,-0.294,4.51,6.9314986,48.045673,2.976623,0.18441379,0.0029299581,0.032335675,0.0307819,0.0338181,0.032308925,487.61287,1196.5709,,Jovian,K,0.50815944,1.9247032,0.80440608,0.30770461,0,0,Hot,0,0.058701508,0
HAT-P-41 b,Transit,HATNet,2012,378.2177,Mass,22.978,2.69405,0.04258,0.0,87.7,,HAT-P-41,,11.365,348.185,6390.0,2.56,2.05,0.21,2.2,0.628,4.14,4.0570916,16.459992,0.71633703,0.031174908,0.0022516015,0.04258,0.04258,0.04258,0.04258,2342.0097,1772.1353,,Jovian,F,4.2461956,5.5637008,7.94184,0.55809561,0,0,Hot,0,0.041242714,0
HD 191939 f,Radial Velocity,W. M. Keck Observatory,2022,660.0,Msini,13.4,2200.0,3.2,0.0,,,HD 191939,G9 V,8.97,53.6089,5348.0,0.81,0.94,-0.15,8.7,-0.187,4.3,7.0181003,49.253731,3.6756516,0.27430236,0.29896582,3.2,3.2,3.2,3.2,0.063489228,127.87178,,Jovian,G,0.65012969,2.1770267,0.90340238,0.4782332,0,0,Cold,0,0.12908892,0
WASP-84 c,Transit,Transiting Exoplanet Survey Satellite (TESS),2023,15.2,Mass,1.95,1.4468849,0.02359,,83.2,,WASP-84,K0,10.825,100.588,5238.0,0.85,0.77,0.1,2.1,-0.325,4.54,2.7919298,7.7948718,3.9973702,2.0499334,0.0006170515,0.02359,0.02359,0.02359,0.02359,850.24506,1375.5796,1553.501,Superterran,K,0.47315126,1.8572218,0.75995211,0.38347262,0,0,Hot,0,0.25871317,0
TOI-776 c,Transit,Transiting Exoplanet Survey Satellite (TESS),2020,5.3,Mass,2.02,15.6653,0.1,0.04,89.51,-11.0,TOI-776,M1 V,11.536,27.1701,3709.0,0.54,0.54,-0.2,7.8,-1.31,4.73,1.6198032,2.6237624,1.2988923,0.64301597,0.0020559719,0.10008,0.096,0.104,0.10002001,4.9017111,378.92762,427.9392,Superterran,M,0.048977882,0.59753557,0.047238577,0.41024049,0,0,Hot,0,0.47504892,0
L 98-59 b,Transit,Transiting Exoplanet Survey Satellite (TESS),2019,0.4,Mass,0.85,2.2531136,0.02191,0.103,87.71,192.0,L 98-59,M3 V,11.685,10.6194,3415.0,0.27,0.3,-0.46,0.8,-1.948,4.86,0.68599434,0.47058824,0.55363322,0.6513332,0.00022410531,0.022026222,0.01965327,0.02416673,0.021939157,23.606482,560.38918,632.87152,Terran,M,0.011271975,0.2866578,0.022625323,0.22277224,0,0,Hot,0,0.34784141,0
WASP-126 c,Transit Timing Variations,Transiting Exoplanet Survey Satellite (TESS),2019,64.2,Mass,9.38,7.63,0.078752671,0.05,85.5,183.2,WASP-126,G2,10.994,216.526,5800.0,1.12,1.27,0.207,6.4,0.132,4.28,2.6161708,6.8443497,0.72967481,0.077790491,0.0028854473,0.078851111,0.074815037,0.082690304,0.078777301,218.7827,979.26258,,Jovian,G,1.3551894,3.1431403,2.1879508,0.50620626,0,0,Hot,0,0.096215899,0
WASP-85 A b,Transit,K2,2016,402.05495,Mass,13.899,2.6556777,0.039,0.0,89.69,,WASP-85 A,G5 V,10.72,141.887,6112.0,1.09,0.94,0.118,,-0.071,4.48,5.3783731,28.926898,2.0812215,0.14973894,0.0027977109,0.039,0.039,0.039,0.039,558.30406,1238.2759,,Jovian,G,0.84918048,2.4880767,3.7059183,0.47478096,0,0,Hot,0,0.066617385,0
HD 106315 b,Transit,K2,2017,12.6,Mass,2.44,9.55237,0.0907,0.093,87.54,239.0,HD 106315,F5 V,8.951,109.353,6327.0,1.09,1.3,-0.311,4.48,0.35,4.25,2.2724292,5.1639344,2.1163666,0.86736335,0.0018605778,0.091092232,0.0822649,0.0991351,0.090798337,273.32018,1034.0958,1167.8487,Superterran,F,2.2387211,4.0398363,5.3618074,0.47269391,0,0,Hot,0,0.23819246,0
TOI-1130 c,Transit,Transiting Exoplanet Survey Satellite (TESS),2020,325.69,Mass,13.32,8.350231,0.07191,0.0457,92.44,175.23,TOI-1130,K6-K7,11.595,58.2609,4350.0,0.71,0.7,0.3,4.1,-0.854,4.62,4.9448156,24.451201,1.8356758,0.1378135,0.0052938889,0.071985092,0.068623713,0.075196287,0.071928786,27.094142,580.96283,,Jovian,K,0.13995873,1.0100986,0.15566105,0.40374603,0,0,Hot,0,0.10477208,0
KELT-2 A b,Transit,KELT,2012,540.311,Mass,15.132,4.11379,0.05497,0.0,88.6,90.0,KELT-2 A,F8,8.68,134.058,6327.0,1.54,1.93,0.0,3.97,0.689,4.5,5.9754929,35.706516,2.3596693,0.15593902,0.0038780971,0.05497,0.05497,0.05497,0.05497,1617.1434,1615.4252,,Jovian,F,4.8865236,5.9684803,6.0164819,0.51983258,0,0,Hot,0,0.060599802,0
WASP-19 b,Transit,SuperWASP,2009,366.77398,Mass,15.861,0.78883852,0.01652,0.0126,79.08,51.0,WASP-19,G8 V,12.248,268.325,5616.0,0.97,1.01,0.04,6.4,-0.043,4.42,4.8087697,23.124266,1.4579324,0.091919324,0.0011798605,0.016521311,0.016311848,0.016728152,0.016520328,3319.0546,1933.4831,,Jovian,G,0.9057326,2.5695896,1.5203249,0.4825164,0,0,Hot,0,0.057760215,0
K2-113 b,Transit,K2,2017,410.0007,Mass,12.14,5.817685,0.0642,0.0,86.21,,K2-113,G,13.744,635.722,5660.0,1.04,1.24,0.27,5.9,0.009,4.27,5.8114293,33.77271,2.7819366,0.22915458,0.0047087326,0.0642,0.0642,0.0642,0.0642,247.70225,1010.6068,,Jovian,G,1.0209395,2.7281219,1.6782351,0.4872045,0,0,Hot,0,0.077304468,0
HATS-11 b,Transit,HATSouth,2016,263.7989,Mass,18.03,3.619188,0.0507,0.34,89.03,,HATS-11,G0,14.06,944.603,6563.0,1.33,1.54,0.03,7.7,0.403,4.19,3.8250633,14.631109,0.81148693,0.045007594,0.00195199,0.05363046,0.033462,0.067938,0.051462022,1046.3084,1416.1403,,Jovian,G,2.529298,4.294017,8.5941599,0.55282861,0,0,Hot,0,0.0520983,0
WASP-158 b,Transit,SuperWASP-South,2018,886.7457,Mass,11.994,3.656333,0.0517,0.0,87.7,,WASP-158,F6 V,12.044,524.993,6350.0,1.38,1.39,0.24,1.93,0.483,4.3,8.5983976,73.932441,6.1641188,0.51393354,0.0044625435,0.0517,0.0517,0.0517,0.0517,1137.6768,1479.4641,,Jovian,F,3.040885,4.7082961,6.0342429,0.44440345,0,0,Hot,0,0.074703752,0
KELT-12 b,Transit,KELT-North,2017,301.9385,Mass,19.952,5.031623,0.06708,0.0,84.47,,KELT-12,,10.585,368.03,6279.0,1.59,2.37,0.19,2.2,0.892,3.89,3.8901471,15.133245,0.7584826,0.038015367,0.0038567258,0.06708,0.06708,0.06708,0.06708,1733.0612,1643.6267,,Jovian,F,7.7983011,7.5398684,5.5995667,0.47616886,0,0,Hot,0,0.047137501,0
TOI-150.01,Transit,Transiting Exoplanet Survey Satellite (TESS),2019,797.7533,Mass,14.067,5.857487,0.07037,0.262,88.09,,TOI-150,F,11.39,336.267,6255.0,1.35,1.53,0.28,2.346,0.497,4.13,7.530669,56.710976,4.0314904,0.28659206,0.0043592065,0.072785239,0.05193306,0.08880694,0.070987867,657.15382,1272.7926,,Jovian,F,3.1405087,4.7847997,5.0881488,0.45574729,0,0,Hot,0,0.065636383,0
HD 63433 b,Transit,Transiting Exoplanet Survey Satellite (TESS),2020,5.11,M-R relationship,2.112,7.1079379,0.0714,0.24,88.49,,HD 63433,G5 V,6.92035,22.4035,5688.0,0.99,0.91,0.03,0.414,-0.125,4.52,1.5554766,2.4195076,1.1456002,0.54242433,0.00093804921,0.07345632,0.054264,0.088536,0.071924068,151.52557,883.91924,998.24789,Superterran,G,0.74989421,2.3381037,1.7322533,0.30780095,0,0,Hot,0,0.25783122,0
TOI-561 d,Transit,Transiting Exoplanet Survey Satellite (TESS),2020,13.2,Mass,2.82,25.7124,0.158,0.122,89.4,235.0,TOI-561,G9 V,10.252,85.799,5372.0,0.81,0.84,-0.4,11.0,-0.273,4.5,2.1635275,4.6808511,1.6598763,0.5886086,0.0035180323,0.15917584,0.138724,0.177276,0.1582954,21.524949,547.16153,,Neptunian,G,0.5333349,1.9718041,0.94143006,0.49730019,0,0,Hot,0,0.27291757,0
WASP-58 b,Transit,SuperWASP,2012,308.2951,Mass,16.029,5.01718,0.0562,0.0,87.4,,WASP-58,G2 V,11.652,290.404,5800.0,1.06,1.22,-0.45,12.8,0.16,4.27,4.3856109,19.233583,1.1999241,0.074859571,0.0037245615,0.0562,0.0562,0.0562,0.0562,457.64357,1178.234,,Jovian,G,1.4454398,3.246114,2.148161,0.55786415,0,0,Hot,0,0.059203025,0
HATS-29 b,Transit,HATSouth,2016,207.54299,Mass,14.022,4.6058749,0.05475,0.158,87.37,,HATS-29,G,12.62,353.891,5670.0,1.03,1.07,0.16,5.5,0.029,4.39,3.847238,14.80124,1.0555727,0.075279752,0.0027033674,0.05543339,0.0460995,0.0634005,0.054922264,361.17812,1105.2881,,Jovian,G,1.0690549,2.791668,1.7018265,0.47998872,0,0,Hot,0,0.067145306,0
HAT-P-56 b,Transit,HATNet,2015,734.1873,Mass,16.926,2.79083,0.0423,0.29,82.13,,HAT-P-56,F8,10.92,320.639,6566.0,1.42,1.47,0.0,2.01,0.553,3.39,6.5860688,43.376303,2.5627025,0.15140627,0.0024111458,0.044078715,0.030033,0.054567,0.04275746,2086.3888,1693.7284,,Jovian,F,3.5727284,5.1034488,8.8291864,0.45170368,0,0,Hot,0,0.054644821,0
HD 219134 b,Radial Velocity,Roque de los Muchachos Observatory,2015,4.74,Mass,1.602,3.092926,0.03876,0.0,85.05,0.0,HD 219134,K3 V,5.56911,6.53127,4699.0,0.81,0.78,0.11,11.0,-0.577,4.57,1.7201167,2.9588015,1.8469423,1.1528978,0.00069866147,0.03876,0.03876,0.03876,0.03876,176.29194,928.23476,1048.2953,Superterran,K,0.26485001,1.3895167,0.29624476,0.49730019,0,0,Hot,0,0.28198425,0
HAT-P-27 b,Transit,HATNet,2011,197.05,Mass,11.43,3.039577,0.04,0.0,85.0,0.0,HAT-P-27,G8,12.052,199.173,5316.0,0.92,0.86,0.3,4.4,-0.269,4.53,4.1520742,17.23972,1.508287,0.13195861,0.0023939116,0.04,0.04,0.04,0.04,336.41861,1090.9873,,Jovian,G,0.53826978,1.9809055,0.89215379,0.44537882,0,0,Hot,0,0.080144734,0
XO-5 b,Transit,XO,2008,378.2,Mass,12.78,4.1877558,0.0515,0.0,86.8,331.01,XO-5,G8 V,12.198,276.211,5430.0,1.04,1.13,0.05,8.5,-0.06,4.35,5.4399554,29.593114,2.3155801,0.1811878,0.0036769569,0.0515,0.0515,0.0515,0.0515,328.38669,1084.4164,,Jovian,G,0.87096359,2.5197866,1.1304352,0.51777265,0,0,Hot,0,0.072993455,0
WASP-135 b,Transit,SuperWASP,2015,603.877,Mass,14.572,1.4013794,0.0243,0.0,82.0,,WASP-135,G5 V,13.181,298.214,5675.0,0.98,0.96,0.02,0.6,-0.326,4.47,6.4374618,41.440914,2.8438728,0.19516009,0.0020683895,0.0243,0.0243,0.0243,0.0243,799.44291,1354.5548,,Jovian,G,0.47206304,1.8550848,1.688271,0.3263313,0,0,Hot,0,0.063348155,0
TOI-905 b,Transit,Transiting Exoplanet Survey Satellite (TESS),2020,211.99261,Mass,13.126,3.739494,0.04666,0.024,85.68,39.0,TOI-905,,11.08,158.649,5570.0,0.97,0.92,0.14,3.4,-0.137,4.5,4.0187793,16.150587,1.2304272,0.093739692,0.0027438654,0.046673438,0.04554016,0.04777984,0.04666336,335.14724,1089.8374,,Jovian,G,0.72945751,2.3060237,1.4048016,0.43423874,0,0,Hot,0,0.071286988,0
K2-198 d,Transit,K2,2019,6.52,M-R relationship,2.438,7.4500177,0.069285835,,89.86,,K2-198,,10.971,110.567,5212.9,0.8,0.76,0.094,,-0.401,4.6,1.6353358,2.6743232,1.0969332,0.4499316,0.0013947046,0.069285835,0.069285835,0.069285835,0.069285835,82.739156,768.29407,867.66743,Superterran,K,0.39719155,1.7016246,0.71331663,0.42826685,0,0,Hot,0,0.24908395,0
Kepler-18 c,Transit,Kepler,2011,17.3,Mass,5.49,7.64159,0.0752,0.0,87.68,,Kepler-18,,13.771,433.047,5345.0,0.97,1.11,0.19,10.0,-0.031,4.31,1.7751574,3.151184,0.57398615,0.10455121,0.0019652956,0.0752,0.0752,0.0752,0.0752,164.65098,912.51663,,Neptunian,G,0.93110788,2.6053361,0.95441762,0.51977504,0,0,Hot,0,0.14717168,0
KELT-7 b,Transit,KELT,2015,441.7837,Mass,17.934,2.73477,0.04415,0.0,83.76,,KELT-7,F,8.56,136.681,6768.0,1.76,1.81,0.0,1.3,0.758,4.5,4.9632513,24.633863,1.3735844,0.07659108,0.0027857895,0.04415,0.04415,0.04415,0.04415,2938.5872,1875.5747,,Jovian,F,5.7279603,6.4619525,13.418726,0.45121786,0,0,Hot,0,0.051702258,0
L 98-59 e,Radial Velocity,Multiple Observatories,2021,3.06,Msini,1.56,12.796,0.0717,0.128,,165.0,L 98-59,M3 V,11.685,10.6194,3415.0,0.27,0.3,-0.46,0.8,-1.948,4.86,1.4005493,1.9615385,1.2573964,0.80602337,0.001404775,0.072287366,0.0625224,0.0808776,0.071847637,2.2107972,309.66596,349.71904,Terran,M,0.011271975,0.2866578,0.022625323,0.22277224,0,0,Hot,0,0.69173285,0
WASP-168 b,Transit,SuperWASP-South,2018,133.4886,Mass,16.814,4.153658,0.0519,0.0,84.4,,WASP-168,F9 V,12.124,303.941,6000.0,1.08,1.12,-0.01,3.96,0.155,4.37,2.8176469,7.9391341,0.47217402,0.028082195,0.0025859855,0.0519,0.0519,0.0519,0.0519,530.47544,1222.5483,,Jovian,F,1.428894,3.2274815,3.0478696,0.4616526,0,0,Hot,0,0.05645609,0
WASP-28 b,Transit,SuperWASP,2014,282.54945,Mass,13.664,3.408835,0.0442,0.0,88.514,,WASP-28,F8,12.274,348.494,6084.0,0.99,1.08,-0.2,5.5,0.15,4.37,4.5473492,20.678385,1.5133478,0.11075438,0.0029108999,0.0442,0.0442,0.0442,0.0442,723.02857,1320.9567,,Jovian,F,1.4125375,3.208956,3.420378,0.47369306,0,0,Hot,0,0.067179582,0
WASP-177 b,Transit,SuperWASP,2019,161.45764,Mass,17.71,3.071722,0.03957,,84.14,,WASP-177,K2,12.312,176.818,5017.0,0.88,0.89,0.25,9.7,-0.412,4.49,3.0193956,9.1167499,0.51477978,0.029067181,0.0022491061,0.03957,0.03957,0.03957,0.03957,247.32493,1010.2217,,Jovian,K,0.38725764,1.6802108,0.52591481,0.5006271,0,0,Hot,0,0.056179588,0
WASP-3 b,Transit,SuperWASP,2007,772.3269,Mass,15.917,1.84683,0.0315,0.0,85.06,79.0,WASP-3,,10.632,231.161,6400.0,1.62,1.44,0.0,2.1,0.434,4.25,6.9657835,48.52214,3.0484476,0.19152149,0.0024614509,0.0315,0.0315,0.0315,0.0315,2737.6561,1842.6567,,Jovian,F,2.7164393,4.4500385,6.9365043,0.47544439,0,0,Hot,0,0.057644351,0
HAT-P-22 b,Transit,HATNet,2010,785.0401,Mass,12.89,3.21222,0.0414,0.02,86.9,156.0,HAT-P-22,G5 V,9.763,81.7647,5302.0,1.13,1.11,0.24,12.4,-0.114,4.36,7.8040396,60.903033,4.724828,0.36654989,0.003594315,0.04140828,0.040572,0.042228,0.04140207,448.83446,1172.4347,,Jovian,G,0.76913044,2.3679022,0.93273358,0.56687582,0,0,Hot,0,0.071591881,0
K2-198 c,Transit,K2,2019,2.61,M-R relationship,1.423,3.3596055,0.040744136,,86.494,,K2-198,,10.971,110.567,5212.9,0.8,0.76,0.094,,-0.401,4.6,1.3543091,1.8341532,1.2889341,0.90578642,0.00060445949,0.040744136,0.040744136,0.040744136,0.040744136,239.25983,1001.8833,1131.4698,Terran,K,0.39719155,1.7016246,0.71331663,0.42826685,0,0,Hot,0,0.28799658,0
KELT-6 b,Transit,KELT,2014,165.2716,Mass,14.572,7.8457,0.07939,0.22,88.81,80.0,KELT-6,F8,10.371,240.726,6102.0,1.42,1.73,-0.28,6.1,0.493,4.07,3.3677476,11.341724,0.77832308,0.053412234,0.0030242356,0.081311238,0.0619242,0.0968558,0.079878116,506.10564,1197.1148,,Jovian,F,3.1117163,4.7628156,3.9785237,0.54351215,0,0,Hot,0,0.064117528,0
WASP-79 b,Transit,SuperWASP,2012,270.15415,Mass,17.15,3.662392,0.0519,0.0,86.1,90.0,WASP-79,F5,10.044,246.69,6600.0,1.39,1.51,0.03,1.4,0.664,4.2,3.9689329,15.752429,0.91850895,0.053557373,0.0030071255,0.0519,0.0519,0.0519,0.0519,1712.6369,1638.7625,,Jovian,F,4.6131757,5.7991423,9.2938897,0.42226437,0,0,Hot,0,0.054107863,0
KELT-1 b,Transit,KELT,2012,8654.15,Mass,12.442,1.217514,0.02466,0.0099,87.8,61.0,KELT-1,,10.632,268.43,6518.0,1.32,1.46,0.131,,0.542,4.25,26.37346,695.5594,55.904147,4.4931801,0.0045709613,0.024661208,0.024415866,0.024904134,0.024660302,5728.4238,2216.1569,,Jovian,F,3.4833732,5.0392252,7.9347921,0.50606827,0,0,Hot,0,0.071596846,0
HD 219666 b,Transit,Transiting Exoplanet Survey Satellite (TESS),2018,16.6,Mass,4.24,6.04345,0.104,0.0,88.938,,HD 219666,G5 V,9.809,94.1719,5527.0,0.92,1.03,0.04,10.0,-0.028,4.4,1.9786597,3.9150943,0.92337131,0.21777625,0.0027285087,0.104,0.104,0.104,0.104,86.682878,777.28993,,Neptunian,G,0.93756201,2.6143502,1.2819486,0.51068619,0,0,Hot,0,0.18231373,0
Kepler-5 b,Transit,Kepler,2009,670.93913,Mass,15.984,3.5484657,0.0538,0.0,89.14,,Kepler-5,,13.325,899.777,6297.0,1.37,1.79,0.04,2.88,0.652,3.96,6.4788634,41.975671,2.6261056,0.16429589,0.0042418474,0.0538,0.0538,0.0538,0.0538,1550.3703,1598.485,,Jovian,F,4.4874539,5.7195751,5.4957339,0.47391135,0,0,Hot,0,0.05772234,0
HD 89345 b,Transit,K2,2018,34.9613,Mass,7.398,11.8143,0.1066,0.22,87.21,-13.0,HD 89345,G5,9.38,132.345,5576.0,1.16,1.75,0.421,7.53,0.425,4.02,2.1738853,4.7257772,0.63879119,0.086346471,0.0025882939,0.10917972,0.083148,0.130052,0.10725541,240.02605,993.43648,,Neptunian,G,2.6607251,4.4041669,1.5065624,0.52623129,0,0,Hot,0,0.11572472,0
HAT-P-34 b,Transit,HATNet,2011,1058.3739,Mass,13.417,5.452654,0.06774,0.432,87.1,21.9,HAT-P-34,,10.403,249.325,6442.0,1.39,1.53,0.22,1.7,0.6,4.21,8.8816131,78.883051,5.879336,0.43820049,0.0035144191,0.074060955,0.03847632,0.09700368,0.069426523,961.97534,1365.6424,,Jovian,F,3.9810717,5.3872083,7.0845272,0.43615206,0,0,Hot,0,0.067893545,0
HAT-P-67 b,Transit,HATNet,2017,108.0622,Mass,23.371,4.8101025,0.06505,0.0,88.8,,HAT-P-67,,10.106,371.686,6406.0,1.64,2.55,-0.08,1.24,0.939,3.85,2.150296,4.6237731,0.19784233,0.0084652915,0.0026281039,0.06505,0.06505,0.06505,0.06505,2053.5506,1714.8497,,Jovian,F,8.6896043,7.9590964,7.0370987,0.43726334,0,0,Hot,0,0.040661918,0
